Player,Team,IP,K,ERA,WHIP
Andrew Cashner,BAL,96.1,66,3.83,1.19
Frankie Montas,OAK,96,103,2.63,1.11
Shaun Anderson,SF,96,70,5.44,1.55
Sam Gaviglio,TOR,95.2,88,4.61,1.12
Andrew Heaney,LAA,95.1,118,4.91,1.29
Jason Vargas,NYM,94.1,81,4.01,1.27
Nick Pivetta,PHI,93.2,89,5.38,1.52
Brad Peacock,HOU,91.2,96,4.12,1.19
Ross Stripling,LAD,90.2,93,3.47,1.15
Griffin Canning,LAA,90.1,96,4.58,1.22
Homer Bailey,KC,90,81,4.8,1.41
Peter Lambert,COL,89.1,57,7.25,1.74
Jhoulys Chacin,MIL,88.2,80,5.79,1.56
Gio Gonzalez,MIL,87.1,78,3.5,1.29
Liam Hendriks,OAK,85,124,1.8,0.96
Freddy Peralta,MIL,85,115,5.29,1.46
Taylor Clarke,ARI,84.2,68,5.31,1.37
Jose Urena,MIA,84.2,62,5.21,1.48
Junior Guerra,MIL,83.2,77,3.55,1.12
Michael Lorenzen,CIN,83.1,85,2.92,1.15
Alex Young,ARI,83.1,71,3.56,1.19
Yusmeiro Petit,OAK,83,71,2.71,0.81
Jaime Barria,LAA,82.2,75,6.42,1.44
Elieser Hernandez,MIA,82.1,85,5.03,1.24
Jordan Lyles,PIT,82.1,90,5.36,1.47
Asher Wojciechowski,BAL,82.1,80,4.92,1.31
Craig Stammen,SD,82,73,3.29,1.16
Jose Suarez,LAA,81,72,7.11,1.64
Luis Cessa,NYY,81,75,4.11,1.31
Seth Lugo,NYM,80,104,2.7,0.9
David Hess,BAL,80,68,7.09,1.55
Carlos Carrasco,CLE,80,96,5.29,1.35
Kevin Gausman,ATL,80,85,6.19,1.49
Tyler Skaggs,LAA,79.2,78,4.29,1.27
Julio Urias,LAD,79.2,85,2.49,1.08
Nick Ramirez,DET,79.2,74,4.07,1.39
Josh Tomlin,ATL,79.1,51,3.74,1.12
Jordan Yamamoto,MIA,78.2,82,4.46,1.14
Jacob Waguespack,TOR,78,63,4.38,1.33
Jesse Chavez,TEX,78,72,4.85,1.33
Marcus Walden,BOS,78,76,3.81,1.19
Erick Fedde,WAS,78,41,4.5,1.46
Drew Pomeranz,SF,77.2,92,5.68,1.61
Tyler Chatwood,CHC,76.2,74,3.76,1.33
Zack Godley,ARI,76,58,6.39,1.53
Josh Hader,MIL,75.2,138,2.62,0.81
Collin McHugh,HOU,74.2,82,4.7,1.23
Giovanny Gallegos,STL,74,93,2.31,0.81
Dario Agrazal,PIT,73.1,41,4.91,1.36
Miguel Castro,BAL,73.1,71,4.66,1.42
Homer Bailey,OAK,73.1,68,4.3,1.2
Thomas Pannone,TOR,73,69,6.16,1.42
Dinelson Lamet,SD,73,105,4.07,1.26
Dylan Cease,CWS,73,81,5.79,1.55
John Brebbia,STL,72.2,87,3.59,1.18
Luke Jackson,ATL,72.2,106,3.84,1.4
Hansel Robles,LAA,72.2,75,2.48,1.02
Ty Buttrey,LAA,72.1,84,3.98,1.27
Carlos Estevez,COL,72,81,3.75,1.29
Bryan Shaw,COL,72,58,5.38,1.36
Dillon Peters,LAA,72,55,5.38,1.54
Luis Perdomo,SD,72,55,4,1.21
Brandon Workman,BOS,71.2,104,1.88,1.03
Felix Hernandez,SEA,71.2,57,6.4,1.53
Archie Bradley,ARI,71.2,87,3.52,1.44
Wander Suero,WAS,71.1,81,4.54,1.26
Framber Valdez,HOU,70.2,68,5.86,1.67
Matt Andriese,ARI,70.2,79,4.71,1.4
Scott Barlow,KC,70.1,92,4.22,1.44
Emilio Pagan,TB,70,96,2.31,0.83
Jeff Hoffman,COL,70,68,6.56,1.59
Francisco Liriano,PIT,70,63,3.47,1.36
Ross Detwiler,CWS,69.2,46,6.59,1.62
Pedro Baez,LAD,69.2,69,3.1,0.95
Joakim Soria,OAK,69,79,4.3,1.03
Taylor Rogers,MIN,69,90,2.61,1
Chris Devenski,HOU,69,72,4.83,1.3
Chad Green,NYY,69,98,4.17,1.23
Jose Leclerc,TEX,68.2,100,4.33,1.33
Diego Castillo,TB,68.2,81,3.41,1.24
Derek Holland,SF,68.2,71,5.9,1.5
Wei-Yin Chen,MIA,68.1,63,6.59,1.54
Sean Newcomb,ATL,68.1,65,3.16,1.32
Hector Neris,PHI,67.2,89,2.93,1.02
Buck Farmer,DET,67.2,73,3.72,1.27
Noe Ramirez,LAA,67.2,79,3.99,1.17
Nathan Eovaldi,BOS,67.2,70,5.99,1.58
Josh Osich,CWS,67.2,61,4.66,1.14
Aaron Bummer,CWS,67.2,60,2.13,0.99
Raisel Iglesias,CIN,67,89,4.16,1.22
Nestor Cortes,NYY,66.2,69,5.67,1.55
John Gant,STL,66.1,60,3.66,1.28
Adam Ottavino,NYY,66.1,88,1.9,1.31
Will Smith,SF,65.1,96,2.76,1.03
Richard Rodriguez,PIT,65.1,63,3.72,1.35
Roberto Osuna,HOU,65,73,2.63,0.88
Robert Stephenson,CIN,64.2,81,3.76,1.04
Matt Barnes,BOS,64.1,110,3.78,1.38
Luke Weaver,ARI,64.1,69,2.94,1.07
Trevor May,MIN,64.1,79,2.94,1.07
Mike Montgomery,KC,64,51,4.64,1.55
Steve Cishek,CHC,64,57,2.95,1.2
Joe Ross,WAS,64,57,5.48,1.67
Robert Gsellman,NYM,63.2,60,4.66,1.37
Chad Bettis,COL,63.2,42,6.08,1.55
Ian Kennedy,KC,63.1,73,3.41,1.28
Mychal Givens,BAL,63,86,4.57,1.19
Kenley Jansen,LAD,63,80,3.71,1.06
Chi Chi Gonzalez,COL,63,46,5.29,1.46
Drew Smyly,PHI,62.2,68,4.45,1.32
Zack Greinke,HOU,62.2,52,3.02,1.07
Brett Martin,TEX,62.1,62,4.76,1.44
Yimi Garcia,LAD,62.1,66,3.61,0.87
Luis Garcia,LAA,62,57,4.35,1.52
Alex Claudio,MIL,62,44,4.06,1.31
Tyler Clippard,CLE,62,64,2.9,0.85
Zack Britton,NYY,61.1,53,1.91,1.14
Tommy Kahnle,NYY,61.1,88,3.67,1.06
Cam Bedrosian,LAA,61.1,64,3.23,1.14
Josh James,HOU,61.1,100,4.7,1.32
Alex Colome,CWS,61,55,2.8,1.07
Kyle Ryan,CHC,61,58,3.54,1.38
Adam Conley,MIA,60.2,53,6.53,1.73
Tyler Glasnow,TB,60.2,76,1.78,0.89
Yoan Lopez,ARI,60.2,42,3.41,1.14
Kirby Yates,SD,60.2,101,1.19,0.89
Derek Law,TOR,60.2,67,4.9,1.66
Hector Rondon,HOU,60.2,48,3.71,1.25
Kevin McCarthy,KC,60.1,38,4.48,1.48
Lou Trivino,OAK,60,57,5.25,1.53
Sean Doolittle,WAS,60,66,4.05,1.3
Jeurys Familia,NYM,60,63,5.7,1.73
Mike Leake,ARI,60,27,4.35,1.37
Felipe Vazquez,PIT,60,90,1.65,0.93
Will Harris,HOU,60,62,1.5,0.93
Marcus Stroman,NYM,59.2,60,3.77,1.47
Aaron Brooks,BAL,59.2,39,6.18,1.49
Joe Jimenez,DET,59.2,82,4.37,1.32
Daniel Mengden,OAK,59.2,42,4.83,1.44
Matt Harvey,LAA,59.2,39,7.09,1.54
Matt Albers,MIL,59.2,57,5.13,1.37
Clay Buchholz,TOR,59,39,6.56,1.49
Jose Alvarez,PHI,59,51,3.36,1.42
Dylan Covey,CWS,58.2,41,7.98,1.76
Rich Hill,LAD,58.2,72,2.45,1.13
Jordan Lyles,MIL,58.2,56,2.45,1.11
Blake Treinen,OAK,58.2,59,4.91,1.62
Jerad Eickhoff,PHI,58.1,51,5.71,1.3
Drew VerHagen,DET,58,51,5.9,1.6
Edwin Diaz,NYM,58,99,5.59,1.38
Erik Swanson,SEA,58,52,5.74,1.17
Gregory Soto,DET,57.2,45,5.77,1.86
Aaron Civale,CLE,57.2,46,2.34,1.04
Nick Wittgren,CLE,57.2,60,2.81,1.08
Tyler Duffey,MIN,57.2,82,2.5,1.01
Jairo Diaz,COL,57.2,63,4.53,1.3
